mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_actual_estimator__subsample,param_actual_estimator__n_estimators,param_actual_estimator__min_samples_split,param_actual_estimator__min_samples_leaf,param_actual_estimator__min_impurity_decrease,param_actual_estimator__max_features,param_actual_estimator__max_depth,param_actual_estimator__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
3.7716464519500734,0.04094724274428924,0.026774334907531738,0.006034653117287362,0.35,160,2,2,0,sqrt,10,0.05,"{'actual_estimator__subsample': 0.35, 'actual_estimator__n_estimators': 160, 'actual_estimator__min_samples_split': 2, 'actual_estimator__min_samples_leaf': 2, 'actual_estimator__min_impurity_decrease': 0, 'actual_estimator__max_features': 'sqrt', 'actual_estimator__max_depth': 10, 'actual_estimator__learning_rate': 0.05}",-15.536540351736202,-15.262912718303197,-15.202088824350101,-15.293317274634482,-15.232497603907253,-14.38118410405079,-15.566951242906283,-15.110890640517745,-14.837239075471512,-14.972045364646839,-15.13956672005244,0.3297083779086566,3
0.38481018543243406,0.03148196461884681,0.008384323120117188,0.0022313118439513083,0.55,60,5,3,0.4,log2,4,0.05,"{'actual_estimator__subsample': 0.55, 'actual_estimator__n_estimators': 60, 'actual_estimator__min_samples_split': 5, 'actual_estimator__min_samples_leaf': 3, 'actual_estimator__min_impurity_decrease': 0.4, 'actual_estimator__max_features': 'log2', 'actual_estimator__max_depth': 4, 'actual_estimator__learning_rate': 0.05}",-14.47231682788226,-13.712215589277703,-13.712205031213044,-14.13788360114157,-14.441909456067064,-13.773026813553207,-14.381105974372312,-14.168283230376014,-14.441910159938045,-13.633004916506374,-14.087386160032759,0.32889348726388606,1
1.2073944807052612,0.03121888454406428,0.013740968704223634,0.004494292862375118,0.5,60,10,3,0.001,sqrt,9,0.005,"{'actual_estimator__subsample': 0.5, 'actual_estimator__n_estimators': 60, 'actual_estimator__min_samples_split': 10, 'actual_estimator__min_samples_leaf': 3, 'actual_estimator__min_impurity_decrease': 0.001, 'actual_estimator__max_features': 'sqrt', 'actual_estimator__max_depth': 9, 'actual_estimator__learning_rate': 0.005}",-14.533117494093103,-13.803418700206903,-13.620986435122344,-14.411511938445551,-14.624325532119144,-13.773020478714411,-14.654732903934338,-14.259487749047167,-14.533113270867238,-13.602562300161685,-14.181627680271188,0.4105415095627101,2
1.7633875131607055,0.1397862570741083,0.015232062339782715,0.004096424954056288,0.35,240,2,4,0.3,sqrt,9,1e-06,"{'actual_estimator__subsample': 0.35, 'actual_estimator__n_estimators': 240, 'actual_estimator__min_samples_split': 2, 'actual_estimator__min_samples_leaf': 4, 'actual_estimator__min_impurity_decrease': 0.3, 'actual_estimator__max_features': 'sqrt', 'actual_estimator__max_depth': 9, 'actual_estimator__learning_rate': 1e-06}",-16.539695738407932,-16.539695738407932,-16.539695738407932,-16.539695738407932,-16.539695738407932,-16.539695738407932,-16.539695738407932,-16.539695738407932,-16.539695738407932,-16.554268157560713,-16.54115298032321,0.004371725745834354,4
